student_no,programme,gpa,quiz_score,assignment_score,attendance,engagement_score,semester,course_name,financial_status
KGL1935,Sciences,2.55,70,58,66.8,53.2,Semester 2,Machine Learning,Scholarship
KGL1936,Sciences,2.36,67,53,57.8,65.6,Semester 1,Database Systems,Stable
KGL1937,Sciences,2.29,57,57,52.7,56.5,Semester 2,Data Structures,Scholarship
KGL1938,Sciences,3.35,85,85,81.1,77.4,Semester 1,Mathematics & Statistics,Stable
KGL1939,Sciences,2.85,77,69,71.7,57.0,Semester 2,Data Structures,Stable
KGL1940,Sciences,2.8,72,72,60.6,63.6,Semester 1,Database Systems,Stable
KGL1941,Sciences,3.53,78,96,92.0,86.4,Semester 2,Machine Learning,Stable
KGL1942,Sciences,2.81,81,64,69.9,61.2,Semester 1,Database Systems,Stable
KGL1943,Sciences,2.45,61,61,66.6,63.8,Semester 2,Data Structures,Scholarship
KGL1944,Sciences,2.49,58,61,55.7,67.8,Semester 1,Database Systems,Stable
KGL1945,Sciences,2.31,54,58,64.3,54.1,Semester 2,Web Development,Scholarship
KGL1946,Sciences,3.25,82,80,86.9,88.3,Semester 1,Mathematics & Statistics,Stable
KGL1947,Sciences,2.23,49,60,52.8,60.4,Semester 2,Data Structures,Stable
KGL1948,Sciences,2.01,49,52,48.6,55.8,Semester 1,Introduction to Programming,Stable
KGL1949,Sciences,2.73,57,73,67.8,75.2,Semester 2,Machine Learning,Stable
KGL1950,Sciences,3.17,94,71,79.4,71.3,Semester 1,Introduction to Programming,Under Review
KGL1951,Sciences,3.13,75,83,76.8,74.1,Semester 2,Machine Learning,Stable
KGL1952,Sciences,2.93,74,72,78.4,82.0,Semester 1,Database Systems,Stable
KGL1953,Sciences,2.19,58,54,52.5,58.7,Semester 2,Machine Learning,Scholarship
KGL1954,Sciences,2.67,62,69,58.0,75.3,Semester 1,Introduction to Programming,Stable
KGL1955,Sciences,2.55,72,62,57.0,62.5,Semester 2,Machine Learning,Stable
KGL1956,Sciences,3.36,84,81,88.2,85.8,Semester 1,Mathematics & Statistics,Scholarship
KGL1957,Sciences,3.89,92,100,94.2,100.0,Semester 2,Data Structures,Scholarship
KGL1958,Sciences,2.23,45,59,60.6,58.0,Semester 1,Mathematics & Statistics,Scholarship
KGL1959,Sciences,3.03,75,71,78.8,75.0,Semester 2,Data Structures,Stable
KGL1960,Sciences,2.37,56,64,57.2,53.9,Semester 1,Introduction to Programming,Stable
KGL1961,Sciences,2.07,48,53,48.4,60.0,Semester 2,Data Structures,Stable
KGL1962,Sciences,4.0,100,100,99.7,100.0,Semester 1,Introduction to Programming,Stable
KGL1963,Sciences,2.88,65,75,80.0,72.3,Semester 2,Machine Learning,Scholarship
KGL1964,Sciences,2.49,72,58,72.8,58.0,Semester 1,Mathematics & Statistics,Stable
KGL1965,Sciences,2.72,62,72,69.5,71.4,Semester 2,Data Structures,Under Review
KGL1966,Sciences,2.64,66,64,68.9,55.8,Semester 1,Database Systems,Stable
KGL1967,Sciences,2.48,63,60,68.9,68.4,Semester 2,Web Development,Stable
KGL1968,Sciences,2.81,68,67,69.2,63.9,Semester 1,Introduction to Programming,Under Review
KGL1969,Sciences,3.19,75,80,80.4,88.5,Semester 2,Web Development,Stable
KGL1970,Sciences,3.85,89,100,96.8,99.6,Semester 1,Database Systems,Stable
KGL1971,Sciences,2.92,78,69,77.3,70.4,Semester 2,Web Development,Scholarship
KGL1972,Sciences,2.17,53,60,49.6,58.4,Semester 1,Introduction to Programming,Stable
KGL1973,Computer Science,2.33,49,61,59.2,58.3,Semester 2,Machine Learning,Scholarship
KGL1974,Computer Science,2.45,54,67,70.8,60.6,Semester 1,Database Systems,Under Review
KGL1975,Computer Science,2.97,64,77,68.5,87.3,Semester 2,Web Development,Scholarship
KGL1976,Computer Science,2.43,60,60,56.8,68.8,Semester 1,Introduction to Programming,Stable
KGL1977,Computer Science,2.47,62,58,60.8,58.0,Semester 2,Data Structures,Stable
KGL1978,Computer Science,1.92,55,48,40.0,39.2,Semester 1,Mathematics & Statistics,Stable
KGL1979,Computer Science,3.73,91,94,88.4,98.8,Semester 2,Data Structures,Stable
KGL1980,Computer Science,0.73,8,23,40.0,30.0,Semester 1,Mathematics & Statistics,Under Review
KGL1981,Computer Science,3.16,81,78,80.9,78.2,Semester 2,Web Development,Scholarship
KGL1982,Computer Science,3.33,79,86,75.3,77.3,Semester 1,Mathematics & Statistics,Scholarship
KGL1983,Computer Science,3.41,78,91,86.9,81.2,Semester 2,Data Structures,Scholarship
KGL1984,Computer Science,3.08,74,82,69.0,79.2,Semester 1,Introduction to Programming,Stable
KGL1985,Computer Science,2.16,57,54,40.0,47.6,Semester 2,Data Structures,Scholarship
KGL1986,Computer Science,2.0,40,51,49.1,64.0,Semester 1,Database Systems,Scholarship
KGL1987,Computer Science,3.09,81,76,76.8,67.7,Semester 2,Data Structures,Under Review
KGL1988,Computer Science,1.79,44,45,46.0,48.3,Semester 1,Mathematics & Statistics,Scholarship
KGL1989,Computer Science,3.15,67,83,83.6,90.4,Semester 2,Data Structures,Stable
KGL1990,Computer Science,3.23,86,75,72.2,78.5,Semester 1,Introduction to Programming,Scholarship
KGL1991,Computer Science,3.0,65,78,71.3,87.2,Semester 2,Machine Learning,Stable
KGL1992,Computer Science,2.76,55,76,71.9,75.4,Semester 1,Introduction to Programming,Stable
KGL1993,Computer Science,2.77,62,74,61.8,70.9,Semester 2,Data Structures,Stable
KGL1994,Computer Science,2.51,63,62,56.6,62.2,Semester 1,Mathematics & Statistics,Scholarship
KGL1995,Computer Science,3.76,88,95,92.1,92.4,Semester 2,Machine Learning,Stable
KGL1996,Computer Science,2.29,62,55,53.7,62.1,Semester 1,Introduction to Programming,Stable
KGL1997,Computer Science,2.6,59,65,53.9,73.8,Semester 2,Data Structures,Scholarship
KGL1998,Computer Science,2.97,68,77,69.1,74.8,Semester 1,Database Systems,Scholarship
KGL1999,Computer Science,3.32,77,86,92.1,97.7,Semester 2,Data Structures,Stable
